,phi,psi,w
-408.4356038,-69.39700661319348,-69.04736496673179,167.0137549767243
-408.4113173,-79.44231567946137,-59.74478613258411,149.26734204125097
-408.3880593,-89.54313082056451,-60.743906107741225,162.95712886761376
-408.3660146,-90.53810193314798,-66.34559254231281,169.23800999641338
-408.3403670,-89.5353895822261,-60.75096740483331,162.96090064831745
-408.3173364,-89.53479709347208,-60.744246200788716,162.95597643296793
-408.2964196,-76.87576025447285,-65.45069018156327,168.97773776267343
-408.2661766,-92.96743379177215,-76.74033123237987,168.63011862370064
-408.2397131,-92.3924439177706,-64.0714839153783,154.35658326319637
-408.2178094,-86.60338149060875,-63.697116315757725,166.70683961290587
-408.1970355,-64.97352401942125,-59.57691643139558,144.24364209395293
-408.1764060,-88.69420182817139,-66.24084283978857,168.57997417851914
-408.1496809,-64.98994798500757,-59.58177225085796,144.25193511458005
-408.1225321,-80.5496621715327,-62.38757219882519,152.43429841392583
-408.1020669,-74.56773822473832,-60.76032162828432,167.96225826795902
-408.0792281,-70.75147055176245,-65.11297061930108,168.97792892524788
-408.0451694,-91.83446483576304,-57.98710482852637,170.50871907443258
-408.0235006,-80.13234729313072,-65.17187353474745,171.12268759457473
-407.9993335,-69.40294220473002,-69.4341142392231,166.8198419392642
-407.9739013,-81.17293208076077,-58.94379160978808,164.58073264565007
-407.9484821,-67.75935089636451,-59.54304775885404,165.2804536228914
-407.9248181,-68.2542881671799,-66.38089145061933,170.9569336652018
-407.9017133,-68.84218575024636,-65.93167549418537,135.8331859011929
-407.8750236,-76.1988885984528,-66.5253671036137,175.37716823518235
-407.8521016,-74.51681550952922,-64.5044797245898,176.42887503118624
-407.8306331,-83.7673941715977,-71.58148101906642,153.25110260148028
-407.8053576,-89.13378314886616,-62.660638660145636,150.92148082709255
-407.7808072,-78.96963125053674,-53.13294827504943,155.4160181282363
-407.7599436,-84.4070271920236,-68.88040629821822,155.7226699059275
-407.7360518,-75.07411053751945,-72.2830887187345,149.69176833478375
-407.7120723,-84.40986442246314,-68.88109723889526,155.7304741166123
-407.6905995,-82.0530248679977,-49.34190240848535,156.5799165093209
-407.6668693,-70.82398144726058,-63.37028902701101,168.73806773639745
-407.6464087,-82.76099379471563,-59.03919654601401,154.1334662681325
-407.6257641,-84.09730203555873,-71.49000340619268,153.6892211923719
-407.5956305,-70.93645575758148,-67.55083766135326,170.34781669221502
-407.5707400,-78.71110225282143,-58.27339385743587,149.0586722251838
-407.5490443,-69.91361220535775,-65.7506656134473,166.4353871194473
-407.5288166,-79.37607577686036,-76.99450165049717,153.3577849906044
-407.5079952,-73.36075070569171,-72.32604715851912,146.46297450891214
-407.4865288,-87.41527027506602,-61.185182450876695,162.77501285048234
-407.4593010,-72.99735729016504,-60.532785232142004,173.01174685177256
-407.4356739,-75.4299079004105,-82.45061987752167,166.6491660711924
-407.4124527,-75.79273631050013,-66.8855232130028,171.5161080334394
-407.3900551,-75.78996593551327,-66.89882508311108,171.53092711105668
-407.3696444,-80.61945938093933,-64.87246662979037,170.0078514080701
-407.3484682,-84.10897814447738,-70.31775093789614,158.15635134638535
-407.3262489,-82.02992771801388,-56.900009283684795,153.94720251182673
-407.3037982,-80.08037294746913,-71.69806975434793,153.09532223772518
-407.2821368,-71.52303748083744,-72.86594574356486,150.59396716691344
-407.2610920,-62.79061476879742,-65.67161492646896,143.18432411079553
-407.2410365,-89.94259517858895,-60.92166336633238,159.7389290314248
-407.2204902,-94.17772257697297,-58.196866782177686,158.26046893155504
-407.1989247,-85.471415922394,-59.69538837741259,162.56097828816408
-407.1788085,-87.02044243131598,-68.84959492603663,154.11542583902687
-407.1560914,-81.96026633205526,-71.28620407891448,151.603482915891
-407.1352481,-86.78868678345964,-63.081800111079616,167.83366317132058
-407.1135053,-97.29933933605824,-54.482932036945925,155.41693440497818
-407.0905391,-91.11263209879205,-59.36151840538695,170.1326557692248
-407.0691120,-72.90086722837968,-66.34650131219804,170.3699067562484
-407.0449008,-76.02761303362404,-62.22105589070108,156.78813305466701
-407.0228508,-77.29534970535111,-81.45000926737282,162.6981091348445
-406.9913944,-87.48678849752173,-68.86395772311147,161.0841437776807
-406.9699833,-73.46270706378641,-70.0193588410777,145.5553065838346
-406.9493935,-72.45506822102826,-64.09949947356615,160.51177782519963
-406.9221494,-96.94760939346776,-55.00262057116483,153.95836239691147
-406.8899386,-84.88476011134222,-55.32227535324212,160.66618402362218
-406.8667342,-76.71676562496378,-60.73603586512821,165.43161611306365
-406.8437996,-91.81708169088255,-60.52152101557492,169.57815473793482
-406.8223682,-82.50758615272926,-66.90535234758144,169.1279937480578
-406.7978552,-79.14349900881099,-61.42041635307721,171.25339346617653
-406.7775713,-85.94117859177213,-55.1297085627365,155.80157144172347
-406.7573520,-91.96786373759136,-78.37251357149619,159.90128953535535
-406.7358155,-76.16327961568386,-61.58882421610362,139.51911221126107
-406.7137685,-65.57692212828799,-61.394545626011215,141.75393971600315
-406.6917025,-65.58937582722193,-61.38332015604348,141.76871669044922
-406.6710145,-78.1362794021833,-68.9423222397181,172.1010117896291
-406.6413489,-83.76268379022962,-74.51575897430465,157.31869214342677
-406.6171874,-88.58689663593954,-66.10042672461327,151.03162730190724
-406.5941620,-71.37449108410613,-65.19639320323252,170.4806234335222
-406.5722686,-73.33767596834072,-66.2757690721778,168.8212092096656
-406.5417612,-92.32612062310156,-63.22762182940007,166.75009288171594
-406.5106092,-67.02773053797871,-58.962989654237944,159.58433157520548
-406.4886844,-82.38712243959338,-59.204284092884144,154.68466509805074
-406.4681618,-80.82542435241783,-61.098519968584874,172.2722030619127
-406.4443870,-83.71317460580474,-74.68023818214554,157.4386300437714
-406.4194227,-66.80622208145256,-58.26681100528796,166.58234137669774
-406.3924893,-76.01730998824182,-74.5420078100945,149.6510958647618
